Image,Title_URL,Label,meta,postbedrooms,postsqft,Price
,https://vancouver.craigslist.org/rds/apa/d/white-rock-2b-1b-secure-building/7818386784.html,"2B/1B, Secure Building, Situated in White Rock!","5 mins ago2br919ft21371 Blackwood Street, White Rock, BC",2br,919ft2,"$2,695"
https://images.craigslist.org/d/7821650965/00O0O_1dNwbSIMEiP_0CI0t2_600x450.jpg,https://vancouver.craigslist.org/van/apa/d/vancouver-1bedroom-available-in-cozy/7821650965.html,"1Bedroom available in Cozy Laneway house 2 balcony, 1 den, 1 bath",7 mins ago1brVancouver,1br,,"$1,195"
https://images.craigslist.org/d/7815177258/01010_gE8D6R4PdZP_0CI0pO_600x450.jpg,https://vancouver.craigslist.org/rds/apa/d/port-coquitlam-house-rent/7815177258.html,HOUSE RENT,9 mins ago4br1250ft2Port Coquitlam,4br,1250ft2,"$3,600"
https://images.craigslist.org/d/7815176765/00O0O_cp0IXzeR8ab_0CI0pO_600x450.jpg,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-house-rent/7815176765.html,HOUSE RENT,9 mins ago3br1250ft2Port Coquitlam,3br,1250ft2,"$3,600"
https://images.craigslist.org/d/7815608705/01010_gE8D6R4PdZP_0CI0pO_600x450.jpg,https://vancouver.craigslist.org/bnc/apa/d/port-coquitlam-house-rent/7815608705.html,HOUSE RENT,9 mins ago3br1250ft2Port Coquitlam,3br,1250ft2,"$3,600"
https://images.craigslist.org/d/7821650864/00o0o_kYPbTuO8PV9_0x20oM_600x450.jpg,https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-center-eagles-ridge/7821650864.html,Coquitlam Center Eagles Ridge Upper Floor 3 bedroom + 2 bathroom,11 mins ago3br1500ft2Coquitlam,3br,1500ft2,"$3,100"
https://images.craigslist.org/d/7821650784/01616_2yQl4fmmXEE_0CI0t2_300x300.jpg,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bright-legal-bachelor/7821650784.html,"Bright legal bachelor suite steps from shops, nature and transit",13 mins ago470ft2Lynn Valley,,470ft2,"$1,950"
https://images.craigslist.org/d/7820583895/00808_c2rEpI2ay5B_0gw0b0_300x300.jpg,https://vancouver.craigslist.org/van/apa/d/vancouver-yaletown-skyline-spacious-bed/7820583895.html,Yaletown Skyline Spacious 2 Bed 2 Bath+Den 2 EV Parking,14 mins ago2br1040ft2Downtown/Yaletown/Nelson St/Cambie St,2br,1040ft2,"$4,300"
https://images.craigslist.org/d/7821650728/00D0D_5y0r54DStkt_0g00c1_300x300.jpg,https://vancouver.craigslist.org/pml/apa/d/coquitlam-bed-bath-basement-with-car/7821650728.html,"1 Bed, 1 Bath Basement with car parking",14 mins ago1br750ft2Coquitlam,1br,750ft2,"$1,600"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-students-professionals/7816795808.html,UBC Students/Professionals Group/Family/Daycare/Couples+Roommates,16 mins ago6br3300ft2UBC / Arbutus / W 59th Ave Vancouver West,6br,3300ft2,"$7,000"
